Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/11/16 22:00,2016,1,11,22,17,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 23:00,2016,1,11,23,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 0:00,2016,1,12,0,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 1:00,2016,1,12,1,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 2:00,2016,1,12,2,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 3:00,2016,1,12,3,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 4:00,2016,1,12,4,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 5:00,2016,1,12,5,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 6:00,2016,1,12,6,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 7:00,2016,1,12,7,19,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 8:00,2016,1,12,8,24,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 9:00,2016,1,12,9,30,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 10:00,2016,1,12,10,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 11:00,2016,1,12,11,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 12:00,2016,1,12,12,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 13:00,2016,1,12,13,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 14:00,2016,1,12,14,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 15:00,2016,1,12,15,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 16:00,2016,1,12,16,6,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 17:00,2016,1,12,17,5,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 18:00,2016,1,12,18,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 19:00,2016,1,12,19,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 20:00,2016,1,12,20,21,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/12/16 21:00,2016,1,12,21,15,µg/m_,1 Hr,Valid
